         87054601 function calls (85851824 primitive calls) in 16.283 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  8110584    4.444    0.000    6.877    0.000 op.py:69(<listcomp>)
        2    3.659    1.829   11.343    5.672 op.py:52(link_ops)
 32608726    1.833    0.000    1.833    0.000 {built-in method builtins.getattr}
 822175/6    0.678    0.000    1.793    0.299 copy.py:128(deepcopy)
 15416676    0.574    0.000    0.574    0.000 {built-in method _operator.eq}
  8128449    0.481    0.000    0.481    0.000 {built-in method builtins.all}
  8180411    0.330    0.000    0.330    0.000 {method 'items' of 'dict' objects}
  69543/3    0.310    0.000    1.793    0.598 copy.py:259(_reconstruct)
    44841    0.181    0.000    0.921    0.000 tac_cfg.py:784(__gen_instruction)
   147669    0.172    0.000    0.260    0.000 lattice.py:235(__init__)
        1    0.161    0.161    0.596    0.596 api.py:30(__load__)
   139086    0.151    0.000    0.225    0.000 copy.py:264(<genexpr>)
63300/6249    0.144    0.000    1.691    0.000 copy.py:227(_deepcopy_dict)
    35551    0.122    0.000    0.370    0.000 tac_cfg.py:700(__new_var)
   422833    0.121    0.000    0.220    0.000 lattice.py:118(is_top)
  1694880    0.119    0.000    0.119    0.000 {method 'get' of 'dict' objects}
    27050    0.109    0.000    0.114    0.000 api.py:41(<listcomp>)
   458384    0.108    0.000    0.108    0.000 lattice.py:286(_top_val)
        1    0.104    0.104    2.027    2.027 tac_cfg.py:114(from_trace)
      469    0.101    0.000    0.574    0.001 tac_cfg.py:363(apply_operations)
   429296    0.101    0.000    0.123    0.000 {built-in method builtins.isinstance}
118240/4759    0.088    0.000    1.584    0.000 copy.py:201(_deepcopy_list)
  1324504    0.077    0.000    0.077    0.000 {built-in method builtins.id}
   251092    0.073    0.000    0.098    0.000 copy.py:243(_keep_alive)
   179366    0.062    0.000    0.159    0.000 lattice.py:250(__iter__)
   651046    0.058    0.000    0.058    0.000 opcodes.py:32(__eq__)
    66553    0.057    0.000    1.100    0.000 tac_cfg.py:768(__handle_evm_op)
        1    0.053    0.053    0.086    0.086 evm_cfg.py:158(blocks_from_ops)
   147669    0.049    0.000    0.064    0.000 lattice.py:89(__init__)
      670    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
    71102    0.047    0.000    0.162    0.000 memtypes.py:61(__init__)
631966/553325    0.045    0.000    0.104    0.000 {built-in method builtins.len}
   112810    0.041    0.000    0.160    0.000 lattice.py:321(is_finite)
   799966    0.040    0.000    0.040    0.000 {method 'append' of 'list' objects}
    66553    0.039    0.000    0.043    0.000 opcodes.py:371(opcode_by_name)
    98397    0.035    0.000    0.046    0.000 memtypes.py:521(pop)
    98661    0.034    0.000    0.045    0.000 memtypes.py:515(push)
    98955    0.033    0.000    0.087    0.000 lattice.py:244(__len__)
   112810    0.032    0.000    0.046    0.000 lattice.py:123(is_bottom)
   402246    0.031    0.000    0.031    0.000 example_reentrancy.py:28(<lambda>)
    47862    0.031    0.000    0.031    0.000 opcodes.py:40(is_kind_one)
    69543    0.030    0.000    0.030    0.000 {method '__reduce_ex__' of 'object' objects}
   503983    0.028    0.000    0.028    0.000 copy.py:182(_deepcopy_atomic)
    93305    0.028    0.000    0.038    0.000 op.py:37(remove)
    77259    0.027    0.000    0.208    0.000 lattice.py:316(is_const)
    44841    0.026    0.000    0.042    0.000 opcodes.py:146(is_call)
    43477    0.025    0.000    0.120    0.000 tac_cfg.py:624(from_var)
    35551    0.024    0.000    0.121    0.000 memtypes.py:182(top)
225177/179620    0.022    0.000    0.056    0.000 {built-in method builtins.iter}
    45557    0.022    0.000    0.196    0.000 memtypes.py:208(const_value)
    11610    0.021    0.000    0.108    0.000 lattice.py:265(cartesian_map)
        1    0.021    0.021    0.060    0.060 op.py:234(reduce_descendant)
    29401    0.021    0.000    0.085    0.000 memtypes.py:100(values)
    41844    0.021    0.000    0.064    0.000 memtypes.py:546(<listcomp>)
        1    0.019    0.019    0.042    0.042 op.py:133(reduce_value)
    35551    0.019    0.000    0.033    0.000 tac_cfg.py:525(__init__)
      469    0.019    0.000    0.054    0.000 tac_cfg.py:352(reset_block_refs)
    85280    0.019    0.000    0.019    0.000 opcodes.py:96(is_kind_four)
    41844    0.019    0.000    0.083    0.000 memtypes.py:541(pop_many)
1734/1721    0.018    0.000    0.081    0.000 {built-in method builtins.__build_class__}
   402246    0.018    0.000    0.018    0.000 {built-in method _operator.lt}
    44841    0.016    0.000    0.016    0.000 tac_cfg.py:437(__init__)
    91121    0.016    0.000    0.019    0.000 variable.py:11(__eq__)
       90    0.016    0.000    0.017    0.000 {built-in method _imp.create_dynamic}
    66797    0.016    0.000    0.016    0.000 {method 'split' of 'str' objects}
    69543    0.016    0.000    0.023    0.000 copyreg.py:104(__newobj__)
      469    0.015    0.000    1.175    0.003 tac_cfg.py:712(convert_block)
    66553    0.015    0.000    0.015    0.000 evm_cfg.py:82(__init__)
   149312    0.015    0.000    0.015    0.000 lattice.py:16(__init__)
   112815    0.014    0.000    0.014    0.000 lattice.py:290(_bottom_val)
    45282    0.014    0.000    0.014    0.000 opcodes.py:63(is_kind_two)
    84342    0.013    0.000    0.013    0.000 opcodes.py:100(is_kind_five)
    44841    0.013    0.000    0.013    0.000 op.py:49(add_op)
    35551    0.012    0.000    0.018    0.000 tac_cfg.py:649(__hash__)
    19446    0.012    0.000    0.038    0.000 memtypes.py:533(push_many)
   115283    0.012    0.000    0.012    0.000 tac_cfg.py:610(value)
    62075    0.012    0.000    0.022    0.000 <frozen abc>:117(__instancecheck__)
        3    0.012    0.004    1.804    0.601 op.py:80(copy)
    11610    0.012    0.000    0.154    0.000 memtypes.py:233(arith_op)
71237/70927    0.012    0.000    0.015    0.000 {built-in method __new__ of type object at 0x796040}
    90/61    0.011    0.000    0.056    0.001 {built-in method _imp.exec_dynamic}
    33306    0.011    0.000    0.053    0.000 lattice.py:283(<genexpr>)
    44841    0.011    0.000    0.011    0.000 op.py:8(__init__)
    64085    0.011    0.000    0.011    0.000 {method 'update' of 'dict' objects}
    62075    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
    66553    0.010    0.000    0.010    0.000 opcodes.py:114(is_swap)
     1334    0.010    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       88    0.010    0.000    0.010    0.000 six.py:146(__init__)
    37315    0.009    0.000    0.013    0.000 {method 'format' of 'str' objects}
  642/134    0.009    0.000    0.022    0.000 _parser.py:507(_parse)
    11610    0.009    0.000    0.069    0.000 tac_cfg.py:489(<listcomp>)
    35551    0.008    0.000    0.011    0.000 api.py:64(<listcomp>)
    61268    0.008    0.000    0.008    0.000 tac_cfg.py:601(__init__)
     8990    0.008    0.000    0.045    0.000 memtypes.py:554(swap)
      546    0.008    0.000    0.009    0.000 _compiler.py:241(_optimize_charset)
71927/71652    0.008    0.000    0.014    0.000 {built-in method builtins.hasattr}
    10456    0.008    0.000    0.053    0.000 memtypes.py:548(dup)
    10006    0.008    0.000    0.085    0.000 memtypes.py:135(__str__)
    57563    0.008    0.000    0.008    0.000 opcodes.py:118(is_dup)
        8    0.007    0.001    0.007    0.001 {method 'recv_into' of '_socket.socket' objects}
    45545    0.007    0.000    0.007    0.000 opcodes.py:110(is_push)
   110891    0.007    0.000    0.007    0.000 memtypes.py:95(values)
    35551    0.007    0.000    0.007    0.000 memtypes.py:76(<listcomp>)
     3234    0.007    0.000    0.007    0.000 {built-in method posix.stat}
    11610    0.007    0.000    0.036    0.000 tac_cfg.py:870(<listcomp>)
    93315    0.006    0.000    0.006    0.000 {method 'remove' of 'list' objects}
    99417    0.006    0.000    0.006    0.000 {method 'pop' of 'list' objects}
      733    0.006    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      675    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
72415/72043    0.006    0.000    0.006    0.000 {built-in method builtins.hash}
    58802    0.006    0.000    0.006    0.000 memtypes.py:108(<genexpr>)
   133673    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
    72635    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
    11610    0.006    0.000    0.076    0.000 tac_cfg.py:487(constant_args)
    35551    0.006    0.000    0.006    0.000 variable.py:5(__init__)
    18288    0.005    0.000    0.005    0.000 opcodes.py:86(is_kind_three_store_two)
    35551    0.005    0.000    0.005    0.000 tac_cfg.py:634(__init__)
      670    0.005    0.000    0.005    0.000 {built-in method io.open_code}
    11610    0.005    0.000    0.007    0.000 tac_cfg.py:423(<listcomp>)
    10006    0.005    0.000    0.091    0.000 tac_cfg.py:607(__str__)
    11610    0.005    0.000    0.007    0.000 lattice.py:284(<listcomp>)
  814/805    0.005    0.000    0.051    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
      407    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
    18347    0.005    0.000    0.005    0.000 opcodes.py:132(is_arithmetic)
    690/1    0.004    0.000   16.284   16.284 {built-in method builtins.exec}
     9290    0.004    0.000    0.006    0.000 api.py:73(<listcomp>)
    11610    0.004    0.000    0.014    0.000 lattice.py:280(<listcomp>)
     4812    0.004    0.000    0.091    0.000 tac_cfg.py:54(<lambda>)
 1160/126    0.004    0.000    0.016    0.000 _compiler.py:37(_compile)
    66671    0.004    0.000    0.004    0.000 {method 'upper' of 'str' objects}
     7101    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
45868/45863    0.004    0.000    0.005    0.000 {built-in method builtins.next}
    10006    0.004    0.000    0.009    0.000 memtypes.py:30(is_unconstrained)
      670    0.004    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    27050    0.004    0.000    0.004    0.000 opcodes.py:122(is_log)
     7101    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
7358/2049    0.003    0.000    0.004    0.000 variable.py:79(get_descendants)
    27285    0.003    0.000    0.003    0.000 opcodes.py:126(is_missing)
     1340    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
    826/3    0.003    0.000    0.389    0.130 <frozen importlib._bootstrap>:1167(_find_and_load)
     6414    0.003    0.000    0.076    0.000 tac_cfg.py:873(<listcomp>)
        3    0.003    0.001    0.004    0.001 op.py:92(filter)
     1122    0.003    0.000    0.007    0.000 typing.py:168(_type_check)
     1613    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    825/3    0.003    0.000    0.389    0.130 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    27912    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1613    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
    10937    0.002    0.000    0.002    0.000 _parser.py:231(__next)
      772    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      407    0.002    0.000    0.015    0.000 textwrap.py:419(dedent)
      809    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
    772/5    0.002    0.000    0.389    0.078 <frozen importlib._bootstrap>:666(_load_unlocked)
 1324/293    0.002    0.000    0.003    0.000 _parser.py:172(getwidth)
     1613    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
